0.5,0.183,0.723,0.195,0.618,0.207,0.514,0.22,0.399,-0.049,0.133,0.061,0.121,0.171,0.11,0.268,0.11,0.366,0.121,-0.537,0.676,-0.415,0.769,-0.268,0.769,-0.146,0.653,-0.28,0.63,-0.427,0.63,0.415,0.618,0.524,0.711,0.671,0.711,0.78,0.607,0.671,0.572,0.537,0.572,-0.28,-0.318,-0.098,-0.214,0.061,-0.145,0.159,-0.168,0.268,-0.156,0.378,-0.237,0.5,-0.353,0.366,-0.387,0.244,-0.387,0.146,-0.387,0.024,-0.376,-0.11,-0.364,-0.207,-0.306,0.049,-0.26,0.159,-0.26,0.256,-0.26,0.427,-0.341,0.256,-0.272,0.146,-0.272,0.049,-0.26
1.0,0.027,0.718,0.038,0.593,0.038,0.48,0.049,0.356,-0.148,0.062,-0.049,0.062,0.038,0.062,0.126,0.062,0.224,0.085,-0.574,0.661,-0.464,0.751,-0.333,0.751,-0.213,0.65,-0.333,0.627,-0.475,0.616,0.279,0.65,0.388,0.751,0.53,0.751,0.65,0.672,0.541,0.627,0.399,0.627,-0.333,-0.333,-0.202,-0.243,-0.071,-0.164,0.027,-0.186,0.115,-0.164,0.235,-0.232,0.366,-0.345,0.235,-0.401,0.115,-0.424,0.016,-0.424,-0.082,-0.424,-0.202,-0.401,-0.268,-0.322,-0.071,-0.277,0.027,-0.277,0.115,-0.277,0.301,-0.333,0.115,-0.288,0.027,-0.299,-0.071,-0.288
1.5,0.051,0.762,0.051,0.643,0.062,0.535,0.062,0.405,-0.164,0.157,-0.062,0.135,0.04,0.124,0.141,0.135,0.243,0.157,-0.593,0.708,-0.48,0.795,-0.345,0.795,-0.232,0.697,-0.356,0.665,-0.492,0.665,0.311,0.676,0.424,0.773,0.559,0.762,0.672,0.676,0.571,0.643,0.435,0.643,-0.345,-0.33,-0.22,-0.178,-0.062,-0.103,0.04,-0.124,0.141,-0.103,0.277,-0.189,0.379,-0.351,0.266,-0.449,0.13,-0.492,0.028,-0.492,-0.085,-0.492,-0.22,-0.449,-0.266,-0.319,-0.073,-0.232,0.028,-0.232,0.13,-0.232,0.299,-0.341,0.13,-0.33,0.028,-0.341,-0.073,-0.33
2.0,0.057,0.762,0.057,0.637,0.057,0.513,0.069,0.368,-0.195,0.192,-0.08,0.161,0.046,0.13,0.161,0.161,0.276,0.192,-0.609,0.741,-0.494,0.813,-0.345,0.813,-0.241,0.72,-0.356,0.71,-0.494,0.71,0.31,0.699,0.425,0.782,0.563,0.782,0.678,0.699,0.563,0.679,0.425,0.689,-0.448,-0.223,-0.299,-0.088,-0.103,-0.036,0.034,-0.067,0.161,-0.036,0.322,-0.098,0.414,-0.244,0.322,-0.451,0.149,-0.544,0.011,-0.565,-0.138,-0.544,-0.322,-0.44,-0.391,-0.223,-0.103,-0.13,0.023,-0.14,0.161,-0.13,0.368,-0.254,0.161,-0.409,0.023,-0.43,-0.115,-0.409
2.5,0.035,0.75,0.035,0.62,0.035,0.5,0.035,0.359,-0.233,0.163,-0.116,0.141,0.012,0.109,0.128,0.13,0.244,0.152,-0.616,0.739,-0.5,0.804,-0.372,0.804,-0.256,0.717,-0.384,0.707,-0.512,0.717,0.291,0.685,0.419,0.772,0.547,0.761,0.663,0.685,0.547,0.674,0.419,0.674,-0.5,-0.217,-0.337,-0.12,-0.14,-0.076,-0.012,-0.109,0.128,-0.087,0.291,-0.141,0.407,-0.261,0.279,-0.402,0.105,-0.467,-0.035,-0.478,-0.174,-0.457,-0.349,-0.391,-0.43,-0.228,-0.151,-0.163,-0.023,-0.185,0.116,-0.174,0.349,-0.261,0.116,-0.337,-0.023,-0.348,-0.163,-0.326
3.0,0.0,0.722,0.012,0.6,0.012,0.478,0.012,0.344,-0.233,0.111,-0.128,0.1,-0.023,0.078,0.093,0.089,0.198,0.111,-0.64,0.689,-0.523,0.744,-0.395,0.744,-0.279,0.667,-0.407,0.644,-0.535,0.644,0.279,0.644,0.395,0.711,0.523,0.7,0.64,0.633,0.523,0.6,0.395,0.611,-0.477,-0.278,-0.314,-0.2,-0.14,-0.156,-0.035,-0.178,0.081,-0.156,0.221,-0.222,0.349,-0.322,0.209,-0.389,0.058,-0.422,-0.058,-0.433,-0.174,-0.422,-0.326,-0.378,-0.407,-0.278,-0.151,-0.267,-0.047,-0.278,0.07,-0.278,0.291,-0.311,0.07,-0.278,-0.047,-0.289,-0.163,-0.278
3.5,0.018,0.746,0.029,0.635,0.029,0.536,0.029,0.414,-0.193,0.138,-0.088,0.127,0.018,0.116,0.123,0.127,0.216,0.138,-0.637,0.702,-0.52,0.79,-0.368,0.79,-0.251,0.68,-0.38,0.657,-0.532,0.657,0.298,0.669,0.415,0.768,0.567,0.757,0.684,0.669,0.567,0.635,0.427,0.635,-0.404,-0.304,-0.251,-0.204,-0.088,-0.127,0.006,-0.16,0.111,-0.127,0.251,-0.204,0.368,-0.326,0.251,-0.414,0.099,-0.448,-0.006,-0.448,-0.111,-0.448,-0.263,-0.403,-0.333,-0.304,-0.099,-0.26,0.006,-0.271,0.111,-0.26,0.31,-0.326,0.111,-0.315,-0.006,-0.315,-0.099,-0.304
4.0,0.077,0.753,0.089,0.634,0.089,0.527,0.101,0.398,-0.148,0.161,-0.041,0.14,0.065,0.129,0.172,0.129,0.266,0.151,-0.598,0.71,-0.456,0.785,-0.302,0.796,-0.195,0.688,-0.325,0.656,-0.479,0.667,0.361,0.656,0.491,0.742,0.645,0.742,0.74,0.645,0.633,0.613,0.491,0.624,-0.385,-0.29,-0.219,-0.183,-0.041,-0.118,0.065,-0.151,0.172,-0.129,0.314,-0.204,0.42,-0.333,0.29,-0.441,0.148,-0.495,0.03,-0.495,-0.077,-0.484,-0.243,-0.43,-0.302,-0.29,-0.053,-0.237,0.053,-0.258,0.16,-0.258,0.349,-0.323,0.148,-0.355,0.041,-0.355,-0.065,-0.344
4.5,0.106,0.728,0.106,0.609,0.118,0.5,0.129,0.38,-0.129,0.12,-0.024,0.098,0.094,0.087,0.2,0.098,0.294,0.109,-0.588,0.696,-0.447,0.772,-0.294,0.772,-0.188,0.663,-0.318,0.641,-0.459,0.641,0.365,0.641,0.494,0.728,0.647,0.717,0.753,0.63,0.647,0.598,0.494,0.609,-0.388,-0.304,-0.212,-0.196,-0.035,-0.13,0.082,-0.174,0.176,-0.141,0.318,-0.217,0.435,-0.348,0.306,-0.446,0.153,-0.489,0.047,-0.489,-0.071,-0.478,-0.235,-0.435,-0.306,-0.304,-0.047,-0.261,0.071,-0.272,0.176,-0.272,0.365,-0.337,0.165,-0.348,0.059,-0.348,-0.059,-0.337
5.0,0.064,0.744,0.064,0.616,0.064,0.488,0.075,0.36,-0.156,0.116,-0.052,0.093,0.052,0.081,0.145,0.081,0.249,0.105,-0.595,0.698,-0.48,0.779,-0.341,0.779,-0.225,0.686,-0.341,0.651,-0.48,0.651,0.318,0.674,0.434,0.767,0.572,0.767,0.676,0.674,0.572,0.628,0.434,0.628,-0.353,-0.314,-0.202,-0.209,-0.052,-0.151,0.04,-0.186,0.145,-0.151,0.272,-0.233,0.387,-0.349,0.26,-0.395,0.121,-0.407,0.017,-0.407,-0.087,-0.407,-0.214,-0.372,-0.283,-0.302,-0.064,-0.267,0.04,-0.279,0.145,-0.279,0.329,-0.337,0.133,-0.279,0.029,-0.279,-0.075,-0.267
